recid,givenname,surname,suburb,pc
2490373,jie,peyer,toukley,2263
1179666,manuel,manley,east brisbane,4169
5505043,grant,baseleous,rowville,3178
2752533,kevin,carlson,northmead,2152
524315,john,burdett,point piper,2027
3145759,mary,smith,mount isa,4825
5767204,melissa,egel,semaphore park,5019
3582641,leonard,patterson,thirroul,2515
2359341,cheri,wilson,copacabana,2251
6422576,jennifer,magee,dunlop,2615
6815793,catherine,carlton,marrickville,2204
3539007,susan,ewart,bollon,4488
2490439,chi,chen,sydney,2000
5636170,barry,barling,marayong,2148
786521,maree,sheppard,kariong,2250
3801187,khim,harris,rye,3941
1572978,betty,atkinson,condobolin,2877
1572979,neal,fellowes,bundall,4217
4849781,paul,hartman,dingley village,3172
1966199,richard,cathro,albert park,3206
5898361,julian,cowling,maclean,2463
6029440,cheryl,mwosu,stanmore,2048
2140864,ming,eade,byabarra,2446
3145863,john,johns,grovedale,3216
5374090,helen,edwards,beaconsfield,6162
2621581,kristen,musa,new town,7008
524432,julie,balenzuela,caloundra,4551
2228386,ho,cornell,tweed heads,2485
655525,michelle,cowley,athelstone,5076
4849846,dorethy,mraz,ferny creek,3786
188,david,sheldon,eleebana,2282
2184565,james,thompson,patterson lakes,3197
524482,kyra,borg,glenroy,3046
4194500,mandy,aranga,milton,4064
4303564,rosemary,smith,maroubra,2035
3670218,margaret,barbour,mundubbera,4626
1048780,teus,phung,wakeley,2176
5112022,margaret,milton,cullen bullen,2790
3277022,trevor,van dooren,palmyra,6157
2621665,linsay,lowe,mowbray,7248
1966309,timothy,stepien,noraville,2263
2752742,frederick,venning,hectorville,5073
2359527,irene,mclarty,burra creek,2620
1835240,ok,jones,woodcroft,2767
3408105,lorraine,wheat,woonona,2517
3801332,gorgina,buono,ashfield,2131
5505282,rhoda,noble,loxton,5333
122215,francis,miles,mildura,3500
6422792,koek,sinclair,rockhampton,4700
6816009,richard,kearney,maleny,4552
2621709,tracy,webster,kambah,2902
4718863,melanie,dun,south side,4570
655632,alan,yuill,burwood,3125
5505297,hygino,rutter,herne hill,3218
3670290,thearun,rocchi,griffith,2680
393495,colin,lewis,gailes,4300
2752795,elizabeth,wright,nar nar goon,3812
3539230,colin,gray,paradise,5075
4194591,malcolm,kennedy,toowoomba,4350
2097451,caroline,skewes,blair athol,5084
4849965,kristofer,white,coleambally,2707
786736,rita,mccarthy,mitcham,3132
393524,anita,guyer,epping,2121
1311034,mahmoud,jones,howrah,7018
1179984,philip,kinsey,minchinbury,2770
4194641,peter,offner,mona vale,2103
1704281,heather,kermeen,cardigan,3352
131425,samuel,edwards,meadows,5201
1704293,janet,rudick,phillip,2606
3801446,steven,webb-wagg,glenmore park,2745
5636456,effie,low,nerang,4211
1835369,fay,bannister,epping,3076
3932546,nesa,roche,elwood,3184
