recid,givenname,surname,suburb,pc
5373955,kirsten,jevdjevic,dandenong,3175
5111815,ross,johns,warwick,4370
1987927,nerida,pritchard,walwa,3709
1835020,warren,cirrito,middle park,3206
4587536,timothy,howe,urunga,2455
6815764,carol,creevey,augathella,4477
5767189,william,klauke,kingaroy,4610
5898262,neville,feuerriegel,edge hill,4870
6422556,damian,mcculloch,miriwinni,4871
4937050,jeremy,mackay,dingley village,3172
1966112,eva,croucher,kirrawee,2232
5111845,richard,brown,berry,2535
3538982,janani,coleman,byron bay,2481
1179694,jack,sheppard,kealba,3021
393273,elizabeth,kent,algester,4115
1835075,angelina,hicks,noranda,6062
2686990,sharon,rhodes,toowoomba,4350
2490458,michele,butler,dayboro,4521
2490459,hilda,caristo,macmasters beach,2251
2752605,james,hoang,blackburn south,3130
4587615,john,mcgrath,queanbeyan,2620
4063328,david,gabriel,mudgeeraba,4213
2621547,kim,de pledge,bayonet head,6330
6684790,jodie,cunningham,towrang,2580
2490491,andrew,jenkins,geelong west,3218
2097280,enid,bowering,sunbury,3429
1878722,aglaia,hipgrave,elwood,3184
1179791,ritchie,cunningham,dandenong,3175
4587678,rivka,sullivan,narre warren,3805
1179810,tania,nespeca,northcote,3070
2359459,bernadette,phibbs,the basin,3154
546165,lisa,dunn,speers point,2284
524498,meryl,daniel,coobowie,5583
4718809,graeme,bickle,griffith,2603
5898461,helen,still,upper coomera,4210
5898462,scott,avery,coombabah,4216
5112046,shun,alhawrin,kensington,2033
6160630,maureen,lister,miranda,2228
3932408,chinjung,crisp,binalong bay,7216
1048830,mayumi,wells,seaforth,2092
1966347,odelia,muharem,ashgrove,4060
2097422,david,mongan,waratah,2298
3146001,trina,brown,bridgewater,5155
4718875,debra,twyre,coolum beach,4573
4587807,eileen,marsden,daisy hill,3465
1442086,murray,buxton,hawthorn,3122
6422827,dorothy,northey,leppington,2171
262450,colleen,woods,corindi beach,2456
2621765,bert,mervin,jan juc,3228
4981063,lyndell,fitch,lawnton,4501
5243214,david,leong,runcorn,4113
655699,kerry,jacobs,ulverstone,7315
1442133,john,nielsen,langford,6147
3015001,andrew,webber,stanmore,4514
262499,josephine,ryan,thornlands,4164
393573,delores,hinch,waverley,2024
6816102,emil,gebert,diamond creek,3089
5898606,richard,corcoran,petersham,2049
2097532,lynne,jardine,kensington,3031
1048964,irene,chen,epping,2121
5505415,ingrid,charls,greendale,3341
3801491,penelope,sayle,california gully,3556
2228644,jian,reeve,fernvale,2484
